strategy,display_name,cost_bps,holdout_sharpe,holdout_max_drawdown,holdout_ann_return,holdout_beta_spy,notes
final_research_portfolio,Final Research Portfolio,1,-0.9925982923501689,-0.16832168403319636,-0.05360995238693145,-0.0028240557045501047,Public sample sensitivity under the same fixed weights.
final_research_portfolio,Final Research Portfolio,5,-2.8969594207958527,-0.2642853987441418,-0.14520890986739787,-0.00275981810636043,Public sample sensitivity under the same fixed weights.
final_research_portfolio,Final Research Portfolio,10,-5.314525871006031,-0.40771416801544935,-0.24738726279771606,-0.0026795211086233354,Public sample sensitivity under the same fixed weights.
final_research_portfolio,Final Research Portfolio,20,-10.264532044112693,-0.6276121290238678,-0.41667722035539334,-0.0025189271131491413,Public sample sensitivity under the same fixed weights.
