strategy,display_name,validation_sharpe,holdout_sharpe,validation_total_return,holdout_total_return,holdout_max_drawdown,holdout_ann_vol,holdout_avg_turnover,holdout_beta_spy,source_strategy,selected_on_validation,artifact_role,cost_assumption_bps
sector_baseline,Sector Residual Baseline,-4.524382724130145,-2.130868695473257,-0.4016315319777721,-0.2273697947334452,-0.2818833590586374,0.0651605690651877,1.300966356698667,0.01572739168602336,sector_baseline,False,benchmark_method,5
raw_pca_residual,Raw PCA Residual,-2.5877782639494558,-3.4017555428616912,-0.23322212485729743,-0.3308930711981891,-0.3367867625303119,0.06393962231322248,1.4464378084136986,0.009069707836423132,raw_pca_residual,False,benchmark_method,5
rmt_filtered_residual,RMT-Filtered Residual,-4.617347600539954,-2.62912239894098,-0.4592268785076078,-0.27765736854315126,-0.2890042397589895,0.0667551775752178,1.4112224778207427,0.00884036319192673,rmt_filtered_residual,False,benchmark_method,5
final_research_portfolio,Final Research Portfolio,0.4208969374875246,0.5376586505971831,0.014423790904519507,0.02422488548691737,-0.037697251475787286,0.024912320353717862,0.02229824041778594,0.013266724480952091,rmt_filtered_ma100_slow,True,selected_portfolio_alias,5
