strategy,split,ann_return,ann_vol,sharpe,max_drawdown,beta_spy,avg_turnover,cost_bps,notes
raw_pca_residual,walk_forward_oos,NA,NA,0.80,NA,NA,NA,5,Preserved baseline comparison from the original Georgia Tech project
rmt_filtered_residual,walk_forward_oos,NA,NA,1.30,-0.08,<0.05,NA,5,Preserved reported spectral result from the original Georgia Tech project
