rank,eigenvalue,filtered_eigenvalue,retained,method,window_end,n_assets,window_length,mp_lower_edge,mp_upper_edge,n_selected_factors,input_transform
1,17.64764851492309,17.64764851492309,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
2,0.9965325785914022,0.9965325785914022,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
3,0.7705534712200575,0.7705534712200575,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
4,0.668426152474785,0.668426152474785,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
5,0.5586751140798693,0.5586751140798693,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
6,0.4603872231686556,0.4603872231686556,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
7,0.44785868324024775,0.44785868324024775,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
8,0.3757407333744214,0.3757407333744214,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
9,0.2954996511887162,0.2954996511887162,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
10,0.26538344535465547,0.26538344535465547,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
11,0.22429615846625336,0.22429615846625336,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
12,0.201451252143004,0.201451252143004,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
13,0.17622801747047886,0.17622801747047886,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
14,0.15758587100612587,0.15758587100612587,True,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
15,0.14727470309115753,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
