fold,train_start,train_end,valid_start,valid_end,holdout_start,holdout_end,strategy,validation_sharpe,validation_score,holdout_sharpe,holdout_ann_return,holdout_max_drawdown,holdout_avg_turnover,selected_on_validation
fold_1,2019-01-02,2019-12-19,2019-12-20,2020-06-12,2020-06-15,2020-12-07,raw_pca_residual,-0.6325262932475335,-0.9532371487323107,1.8864573037179504,0.06754687978630258,-0.016234685138979077,1.5041492075099,False
fold_1,2019-01-02,2019-12-19,2019-12-20,2020-06-12,2020-06-15,2020-12-07,rmt_filtered_residual,0.0769201084781578,-0.24738294244602174,2.488109136859759,0.11354294174879587,-0.018056707815766626,1.537000080411549,True
fold_2,2019-01-02,2020-06-12,2020-06-15,2020-12-07,2020-12-08,2021-06-01,raw_pca_residual,1.8864573037179504,1.5772893567139714,0.22124828997619514,0.007625484234284441,-0.037467002350444534,1.520468315399701,False
fold_2,2019-01-02,2020-06-12,2020-06-15,2020-12-07,2020-12-08,2021-06-01,rmt_filtered_residual,2.488109136859759,2.173350659073085,1.4572051036967972,0.061566679266184865,-0.019035470454754067,1.534736669240971,True
fold_3,2019-01-02,2020-12-07,2020-12-08,2021-06-01,2021-06-02,2021-11-24,raw_pca_residual,0.22124828997619514,-0.09988672652069451,-1.2831607464774488,-0.040585768973385505,-0.02933582863608264,1.4809235843065482,False
fold_3,2019-01-02,2020-12-07,2020-12-08,2021-06-01,2021-06-02,2021-11-24,rmt_filtered_residual,1.4572051036967972,1.1338536755645983,1.7659256451748075,0.07838665046132376,-0.022736890858999437,1.5354024430031252,True
fold_4,2019-01-02,2021-06-01,2021-06-02,2021-11-24,2021-11-25,2022-05-19,raw_pca_residual,-1.2831607464774488,-1.5914904209417053,-0.51206133400868,-0.021715162320512293,-0.028271698870063866,1.5163803961729343,False
fold_4,2019-01-02,2021-06-01,2021-06-02,2021-11-24,2021-11-25,2022-05-19,rmt_filtered_residual,1.7659256451748075,1.4453929956028508,-0.4248507148389644,-0.018617648934873388,-0.039901959476630666,1.519684408115599,True
fold_5,2019-01-02,2021-11-24,2021-11-25,2022-05-19,2022-05-20,2022-11-11,raw_pca_residual,-0.51206133400868,-0.8369113180033442,-0.8374052996282938,-0.029768849107426276,-0.03839164732505118,1.5126337975227453,False
fold_5,2019-01-02,2021-11-24,2021-11-25,2022-05-19,2022-05-20,2022-11-11,rmt_filtered_residual,-0.4248507148389644,-0.7505195325313052,2.7502369663361113,0.11017991067337629,-0.016163951647170993,1.536217760560531,True
fold_6,2019-01-02,2022-05-19,2022-05-20,2022-11-11,2022-11-14,2023-05-08,raw_pca_residual,-0.8374052996282938,-1.1601310673696934,-2.8656379366999642,-0.09751789706160263,-0.05600520305251977,1.486111569599999,False
fold_6,2019-01-02,2022-05-19,2022-05-20,2022-11-11,2022-11-14,2023-05-08,rmt_filtered_residual,2.7502369663361113,2.43050978548627,0.6431798840093174,0.02705238103407881,-0.019740514910553064,1.5108324694960953,True
fold_7,2019-01-02,2022-11-11,2022-11-14,2023-05-08,2023-05-09,2023-10-31,raw_pca_residual,-2.8656379366999642,-3.1880829471918317,-0.33452389777877045,-0.012135760159662112,-0.03361018423552331,1.5437042588735366,False
fold_7,2019-01-02,2022-11-11,2022-11-14,2023-05-08,2023-05-09,2023-10-31,rmt_filtered_residual,0.6431798840093174,0.32812438535286653,0.4384300659910696,0.01391047999523698,-0.02581309994997194,1.5401135545230196,True
fold_8,2019-01-02,2023-05-08,2023-05-09,2023-10-31,2023-11-01,2024-04-24,raw_pca_residual,-0.33452389777877045,-0.6667826578217996,0.7578038010775939,0.027182257411091815,-0.021016132658443265,1.5256832766996433,False
fold_8,2019-01-02,2023-05-08,2023-05-09,2023-10-31,2023-11-01,2024-04-24,rmt_filtered_residual,0.4384300659910696,0.11769044020974861,2.968674788343391,0.13107946602963838,-0.018547410964969813,1.5352600627041493,True
fold_9,2019-01-02,2023-10-31,2023-11-01,2024-04-24,2024-04-25,2024-10-17,raw_pca_residual,0.7578038010775939,0.4416543139698071,1.1752992795872368,0.04476831561563954,-0.030502888259268057,1.5352053220318258,False
fold_9,2019-01-02,2023-10-31,2023-11-01,2024-04-24,2024-04-25,2024-10-17,rmt_filtered_residual,2.968674788343391,2.648034905130916,0.8672268531190179,0.034167208672248206,-0.014834404615780339,1.563751732602834,True
fold_10,2019-01-02,2024-04-24,2024-04-25,2024-10-17,2024-10-18,2025-04-11,raw_pca_residual,1.1752992795872368,0.8485423876892099,-1.579499169213983,-0.056363766499652135,-0.03323955800813183,1.5116251000332621,True
fold_10,2019-01-02,2024-04-24,2024-04-25,2024-10-17,2024-10-18,2025-04-11,rmt_filtered_residual,0.8672268531190179,0.5470346351337888,2.123797129361607,0.08199092621737769,-0.008602877602355896,1.5549981353656943,False
