date,strategy,family,method,n_selected_factors,mp_lower_edge,mp_upper_edge,top_eigenvalue,avg_abs_zscore,n_active_positions
2019-03-29,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.7741747390027279,24
2019-03-29,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.564690266924575,0.7893303641897051,24
2019-03-29,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.564690266924575,0.7893303641897051,24
2019-03-29,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.564690266924575,0.8308711608076905,24
2019-03-29,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.564690266924575,0.8308711608076905,24
2019-04-01,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.7146918286223777,24
2019-04-01,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.671852759182043,0.9905132444569474,24
2019-04-01,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.671852759182043,0.9905132444569474,24
2019-04-01,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.671852759182043,0.822622012497035,24
2019-04-01,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.671852759182043,0.822622012497035,24
2019-04-02,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.5373879762810883,24
2019-04-02,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.752494818431057,0.9314492237782453,24
2019-04-02,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.752494818431057,0.9314492237782453,24
2019-04-02,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.752494818431057,0.6355474265960729,24
2019-04-02,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.752494818431057,0.6355474265960729,24
2019-04-03,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.6783129805360887,24
2019-04-03,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.777322111167285,0.6913786300611712,24
2019-04-03,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.777322111167285,0.6913786300611712,24
2019-04-03,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.777322111167285,0.7837220832139132,24
2019-04-03,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.777322111167285,0.7837220832139132,24
2019-04-04,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,1.0006962222951168,24
2019-04-04,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.74945066939086,0.6119842380449717,24
2019-04-04,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.74945066939086,0.6119842380449717,24
2019-04-04,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.74945066939086,0.9985864354203118,24
2019-04-04,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,15.74945066939086,0.9985864354203118,24
2019-04-05,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.9067220256673322,24
2019-04-05,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,16.029178479218338,0.7718113622264143,24
2019-04-05,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,16.029178479218338,0.7718113622264143,24
2019-04-05,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,16.029178479218338,0.8755658725819112,24
2019-04-05,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,16.029178479218338,0.8755658725819112,24
2019-04-08,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.6391540587422978,24
2019-04-08,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,16.078699314085124,1.0447037796995187,24
2019-04-08,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,16.078699314085124,1.0447037796995187,24
2019-04-08,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,16.078699314085124,0.7267251056880673,24
2019-04-08,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,16.078699314085124,0.7267251056880673,24
2019-04-09,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.8949702866881305,24
2019-04-09,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,15.957527094280115,0.6190496160053351,24
