strategy,net_sharpe,max_drawdown,avg_turnover,spy_beta,cost_bps,universe,period,notes
raw_pca_residuals,0.8,NA,NA,NA,5,original historical equity universe,original walk-forward study period,baseline comparison
rmt_filtered_residuals,1.3,0.08,NA,<0.05,5,original historical equity universe,original walk-forward study period,final reported spectral result
