date,method,avg_lag1_autocorr,median_lag1_autocorr,mean_abs_offdiag_corr,last_day_residual_dispersion,top_residual_eigen_share,n_selected_factors
2019-03-29,raw_pca,-0.07315393185639722,-0.0845971109707185,0.2345421854405548,0.27213687372244383,0.20206416455570278,14.0
2019-03-29,rmt,-0.17907787127822036,-0.17512845673325866,0.13651702385519063,0.5479484943705956,0.13869828134546291,1.0
2019-04-05,raw_pca,-0.08453191277322851,-0.0894493004422923,0.23846281141700945,0.18277638022408468,0.21405318778927843,14.0
2019-04-05,rmt,-0.16362302158175343,-0.16981477404284823,0.13485767212611738,0.5596930695253146,0.13400911394519924,1.0
2019-04-12,raw_pca,-0.10185436824807052,-0.10948487288057689,0.23811881722333908,0.18134146200109133,0.19648257807324004,14.0
2019-04-12,rmt,-0.17920704756521433,-0.19682449339090602,0.13117881879738005,0.533384277852053,0.12728022596652186,1.0
2019-04-19,raw_pca,-0.12175981425560252,-0.11525432998230284,0.23965916581059915,0.20326346101363243,0.21635366348280474,14.0
2019-04-19,rmt,-0.1722355953770143,-0.17452843239109983,0.12855424162197868,0.7392990376917136,0.12622467993353842,1.0
2019-04-26,raw_pca,-0.09232872321202834,-0.08159510067943762,0.24595853761018932,0.2943838568937888,0.21126176492397025,14.0
2019-04-26,rmt,-0.17307936632146212,-0.1711634730275849,0.12847297559737658,0.8187116252750755,0.13251216839457897,1.0
2019-05-03,raw_pca,-0.10075327411731198,-0.10251208264466821,0.24662013072670722,0.33396617288177544,0.21553333009973036,14.0
2019-05-03,rmt,-0.14933077104292622,-0.1390507453917913,0.13369475379700083,0.6885721611064823,0.12630904297439555,1.0
2019-05-10,raw_pca,-0.15474648089360465,-0.15186554476413838,0.24155596946129532,0.35828021575471386,0.18789849809915898,14.0
2019-05-10,rmt,-0.1524036618477533,-0.17033472350716217,0.1391936400848418,0.9345102107987668,0.14138313037248715,1.0
2019-05-17,raw_pca,-0.1553460795631978,-0.17460325569032148,0.23732591886066023,0.21161614336801868,0.1798557320164726,14.0
2019-05-17,rmt,-0.15313993269032855,-0.1808353288415967,0.14232406100641776,0.7406064780840875,0.1378640197432845,1.0
2019-05-24,raw_pca,-0.14780608690913355,-0.16160560118409192,0.23102472609848929,0.15531329316624742,0.18990744709359625,14.0
2019-05-24,rmt,-0.1442012377749782,-0.18264831898509648,0.13611777844559342,0.6822563300731652,0.13092216750933658,1.0
2019-05-31,raw_pca,-0.13682410700239414,-0.1179877166431596,0.23814762567866182,0.3362231227245824,0.1802722771325116,14.0
2019-05-31,rmt,-0.1251574929485131,-0.1578220593939659,0.13709828511971597,0.5578841869945309,0.12538284185091902,1.0
2019-06-07,raw_pca,-0.10498136481774807,-0.11093184497199815,0.2444901418104163,0.24713338814425165,0.20937281401410526,14.0
