date,ticker,sector,close,volume,benchmark_close
2019-05-22,AAPL,technology,45.695,118994240.0,285.63
2019-05-22,ABBV,healthcare,81.59,4219477.0,285.63
2019-05-22,BAC,financials,28.49,29177630.0,285.63
2019-05-22,BLK,financials,439.14,331006.0,285.63
2019-05-22,CAT,industrials,123.56,4620431.0,285.63
2019-05-22,COST,consumer,249.51,1242294.0,285.63
2019-05-22,CSCO,technology,55.69,19479170.0,285.63
2019-05-22,DIS,communication_services,133.85,5093746.0,285.63
2019-05-22,GOOGL,communication_services,57.7925,18825580.0,285.63
2019-05-22,GS,financials,195.52,2427247.0,285.63
2019-05-22,HD,consumer,188.91,5706339.0,285.63
2019-05-22,HON,industrials,160.4902,2251462.0,285.63
2019-05-22,JNJ,healthcare,138.76,5456839.0,285.63
2019-05-22,JPM,financials,110.82,7918898.0,285.63
2019-05-22,MCD,consumer,199.96,1760440.0,285.63
2019-05-22,META,communication_services,185.32,9213801.0,285.63
2019-05-22,MRK,healthcare,78.1515,12873870.0,285.63
2019-05-22,MSFT,technology,127.67,15396490.0,285.63
2019-05-22,NFLX,communication_services,35.973,62293890.0,285.63
2019-05-22,ORCL,technology,54.2,8389651.0,285.63
2019-05-22,PFE,healthcare,41.044,23979960.0,285.63
2019-05-22,UNP,industrials,174.46,1995260.0,285.63
2019-05-22,UPS,industrials,97.5,2580723.0,285.63
2019-05-22,WMT,consumer,34.0767,22022627.0,285.63
2019-05-23,AAPL,technology,44.915,146118960.0,282.14
2019-05-23,ABBV,healthcare,81.15,3299440.0,282.14
2019-05-23,BAC,financials,27.76,59772860.0,282.14
2019-05-23,BLK,financials,433.89,577553.0,282.14
2019-05-23,CAT,industrials,122.26,4964856.0,282.14
2019-05-23,COST,consumer,248.53,1822807.0,282.14
2019-05-23,CSCO,technology,54.19,22734210.0,282.14
2019-05-23,DIS,communication_services,132.73,6743329.0,282.14
2019-05-23,GOOGL,communication_services,57.267,25213140.0,282.14
2019-05-23,GS,financials,191.97,3184179.0,282.14
2019-05-23,HD,consumer,192.0,7754163.0,282.14
2019-05-23,HON,industrials,157.7697,2716316.0,282.14
2019-05-23,JNJ,healthcare,139.79,6951797.0,282.14
2019-05-23,JPM,financials,108.64,14557970.0,282.14
2019-05-23,MCD,consumer,198.97,3560545.0,282.14
2019-05-23,META,communication_services,180.87,12768840.0,282.14
2019-05-23,MRK,healthcare,78.1901,9381160.0,282.14
2019-05-23,MSFT,technology,126.18,23603810.0,282.14
2019-05-23,NFLX,communication_services,35.221,56304430.0,282.14
2019-05-23,ORCL,technology,53.08,11213890.0,282.14
2019-05-23,PFE,healthcare,40.9756,24190000.0,282.14
2019-05-23,UNP,industrials,172.65,3573605.0,282.14
2019-05-23,UPS,industrials,96.17,3112059.0,282.14
2019-05-23,WMT,consumer,33.9533,19363829.0,282.14
2019-05-24,AAPL,technology,44.7425,94858760.0,282.78
2019-05-24,ABBV,healthcare,80.06,3872999.0,282.78
2019-05-24,BAC,financials,28.18,35524410.0,282.78
2019-05-24,BLK,financials,435.76,277330.0,282.78
2019-05-24,CAT,industrials,122.9,3802541.0,282.78
2019-05-24,COST,consumer,247.3,1340428.0,282.78
2019-05-24,CSCO,technology,54.37,13057590.0,282.78
2019-05-24,DIS,communication_services,132.79,4570132.0,282.78
